,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
18,"7,770.0000",22.0000,472.0000,"7,770.0000",24.0000,516.0000,"7,770.0000",24.0000,514.0000,"7,770.0000",27.0000,567.0000,"7,770.0000",28.0000,596.0000,"7,770.0000",28.0000,596.0000,"7,770.0000",31.0000,640.0000,"7,770.0000",32.0000,668.0000,"7,770.0000",35.0000,710.0000,"7,770.0000",37.0000,751.0000,"7,770.0000",40.0000,797.0000,0.0470,0.0470
19,"7,770.0000",24.0000,529.0000,"7,770.0000",26.0000,578.0000,"7,770.0000",26.0000,576.0000,"7,770.0000",29.0000,636.0000,"7,770.0000",31.0000,668.0000,"7,770.0000",31.0000,668.0000,"7,770.0000",33.0000,717.0000,"7,770.0000",35.0000,748.0000,"7,770.0000",38.0000,795.0000,"7,770.0000",41.0000,841.0000,"7,770.0000",45.0000,893.0000,0.0464,0.0464
20,"7,770.0000",25.0000,591.0000,"7,770.0000",28.0000,646.0000,"7,770.0000",28.0000,643.0000,"7,770.0000",31.0000,710.0000,"7,770.0000",33.0000,746.0000,"7,770.0000",33.0000,746.0000,"7,770.0000",37.0000,801.0000,"7,770.0000",39.0000,836.0000,"7,770.0000",43.0000,888.0000,"7,770.0000",46.0000,940.0000,"7,770.0000",51.0000,998.0000,0.0442,0.0442
21,"7,770.0000",28.0000,651.0000,"7,770.0000",31.0000,712.0000,"7,770.0000",31.0000,709.0000,"7,770.0000",35.0000,782.0000,"7,770.0000",38.0000,822.0000,"7,770.0000",38.0000,822.0000,"7,770.0000",42.0000,883.0000,"7,770.0000",45.0000,921.0000,"7,770.0000",49.0000,978.0000,"7,770.0000",53.0000,"1,035.0000","7,770.0000",58.0000,"1,099.0000",0.0462,0.0462
22,"7,770.0000",30.0000,715.0000,"7,770.0000",34.0000,781.0000,"7,770.0000",34.0000,778.0000,"7,770.0000",39.0000,858.0000,"7,770.0000",42.0000,902.0000,"7,770.0000",42.0000,902.0000,"7,770.0000",47.0000,969.0000,"7,770.0000",50.0000,"1,011.0000","7,770.0000",55.0000,"1,073.0000","7,770.0000",59.0000,"1,136.0000","7,770.0000",64.0000,"1,206.0000",0.0466,0.0466
23,"7,770.0000",32.0000,785.0000,"7,770.0000",37.0000,858.0000,"7,770.0000",37.0000,854.0000,"7,770.0000",43.0000,943.0000,"7,770.0000",46.0000,991.0000,"7,770.0000",46.0000,991.0000,"7,770.0000",52.0000,"1,064.0000","7,770.0000",55.0000,"1,110.0000","7,770.0000",60.0000,"1,179.0000","7,770.0000",65.0000,"1,248.0000","7,770.0000",70.0000,"1,325.0000",0.0464,0.0464
24,"7,770.0000",31.0000,849.0000,"7,770.0000",37.0000,929.0000,"7,770.0000",36.0000,925.0000,"7,770.0000",43.0000,"1,020.0000","7,770.0000",46.0000,"1,072.0000","7,770.0000",46.0000,"1,072.0000","7,770.0000",52.0000,"1,152.0000","7,770.0000",55.0000,"1,201.0000","7,770.0000",61.0000,"1,276.0000","7,770.0000",66.0000,"1,350.0000","7,770.0000",71.0000,"1,434.0000",0.0429,0.0429
25,"7,770.0000",34.0000,912.0000,"7,770.0000",40.0000,997.0000,"7,770.0000",39.0000,993.0000,"7,770.0000",46.0000,"1,096.0000","7,770.0000",50.0000,"1,152.0000","7,770.0000",50.0000,"1,152.0000","7,770.0000",56.0000,"1,237.0000","7,770.0000",59.0000,"1,290.0000","7,770.0000",65.0000,"1,370.0000","7,770.0000",70.0000,"1,450.0000","7,770.0000",76.0000,"1,540.0000",0.0434,0.0434
26,"7,770.0000",41.0000,985.0000,"7,770.0000",48.0000,"1,077.0000","7,770.0000",47.0000,"1,073.0000","7,770.0000",55.0000,"1,184.0000","7,770.0000",59.0000,"1,244.0000","7,770.0000",59.0000,"1,244.0000","7,770.0000",66.0000,"1,336.0000","7,770.0000",70.0000,"1,394.0000","7,770.0000",76.0000,"1,480.0000","7,770.0000",82.0000,"1,567.0000","7,770.0000",89.0000,"1,664.0000",0.0474,0.0474
27,"7,770.0000",45.0000,"1,065.0000","7,770.0000",52.0000,"1,164.0000","7,770.0000",51.0000,"1,159.0000","7,770.0000",60.0000,"1,279.0000","7,770.0000",64.0000,"1,345.0000","7,770.0000",64.0000,"1,345.0000","7,770.0000",71.0000,"1,444.0000","7,770.0000",75.0000,"1,506.0000","7,770.0000",82.0000,"1,600.0000","7,770.0000",88.0000,"1,693.0000","7,770.0000",94.0000,"1,798.0000",0.0476,0.0476
28,"7,770.0000",52.0000,"1,147.0000","7,770.0000",60.0000,"1,254.0000","7,770.0000",59.0000,"1,248.0000","7,770.0000",68.0000,"1,377.0000","7,770.0000",73.0000,"1,447.0000","7,770.0000",73.0000,"1,447.0000","7,770.0000",81.0000,"1,555.0000","7,770.0000",85.0000,"1,622.0000","7,770.0000",91.0000,"1,722.0000","7,770.0000",97.0000,"1,823.0000","7,770.0000",103.0000,"1,936.0000",0.0504,0.0504
29,"7,770.0000",57.0000,"1,226.0000","7,770.0000",65.0000,"1,340.0000","7,770.0000",65.0000,"1,334.0000","7,770.0000",74.0000,"1,472.0000","7,770.0000",79.0000,"1,547.0000","7,770.0000",79.0000,"1,547.0000","7,770.0000",87.0000,"1,662.0000","7,770.0000",91.0000,"1,733.0000","7,770.0000",97.0000,"1,841.0000","7,770.0000",103.0000,"1,948.0000","7,770.0000",110.0000,"2,069.0000",0.0511,0.0511
